,Course,Course URL,Subject,Last Offered,Course Title,Credits Offered,Assessment of Sustainability Focused or Inclusive,Offered to UG/G/Both or Other,Justification for classification (including quotes from syllabi/course descriptions where applicable),Description,Course Home Department,Last Catalog Year Reviewed,Unnamed: 12,"The courses were counted using catalog listings with language that is aligned with the Earth Charter, covering topics such as ecological integrity, social and economic justice, and democracy and nonviolence.  Course descriptions that included terms like ""environment,"" ""sustainable/sustainability,"" and ""energy"" were counted as Sustainability-Focused courses, and the other courses that address a topic from the Earth Charter but are not centrally-focused on sustainability were considered Sustainability-Included courses.",Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
1067,INDE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=INDE,567,Fall 2021,Optimization Theories In Finance,3,NO,UG,The theories of optimization such as asset-liability management and portfolio optimization are not applied in a way that allows for sustainable management of finances or how to apply these theories in a sustainable context.,"Fundamentals of financial optimization. Asset-liability management, arbitrage and asset pricing, mean-variance models, portfolio optimization. This course covers models and algorithms for solving linear, quadratic, integer, and stochastic optimization models encountered in financial and data science applications. Students who have taken CAAM 467 should consult their advisor before attempting to register for INDE 567.",Industrial Engineering ,2021-2022,,,,,,
1068,INDE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=INDE,571,Fall 2021,Probability And Statistical Inference,3,NO,UG,"The statistical topics discussed in this course are pure statistics, and not much application. Additionally, this course does not offer a sustainability component, or how sustainability can be embedded into statistical inference.","Topics include probability, random variables, probability distributions, transformations, moment generating functions, common families of distributions, independence, sampling and convergence, basics of estimation theory, hypothesis testing, Bayesian inference, ANOVA, regression. Introduction to statistical software.",Industrial Engineering ,2021-2022,,,,,,
1069,INDE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=INDE,572,Spring 2022,,3,NO,UG,,"Topics include Markov chains, renewal processes, queueing theory, statistical quality control, discrete-event simulation, random number generators, Monte Carlo methods, resampling methods, Markov Chain Monte Carlo, importance sampling and simulation based estimation for stochastic processes.",Industrial Engineering ,2021-2022,,,,,,
1070,INDE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=INDE,577,Fall 2021,Data Science And Machine Learning,3,NO,UG,"This data science course focuses on fundamental applications of data in industrial engineering, but not in a sustainability area.","Fundamentals of data science and machine learning. Topics include: introduction to scikit-learn, Keras and tensorflow 2, linear and logistic regression, clustering, support vector machines, random forest trees, neural networks, deep learning, natural language processing. Recommended Prerequisite(s): Three semesters of calculus recommended. A background in some programming language would be extremely useful.",Industrial Engineering ,2021-2022,,,,,,
1071,INDE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=INDE,590,Fall 2021,Masters In Industrial Engineering Capstone Experience,3,Y - Inclusive,UG,A sustainability component could be a part of a master's in Industrial Engineering capstone project. A project could also be focused on sustainability.,"MIE students are required to write a field report related to one of the required core courses in the curriculum. Students should coordinate this with the INDE 590 instructor/capstone director, prepare a report relevant to the course material, and present it in class.",Industrial Engineering ,2021-2022,,,,,,
1072,INDE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=INDE,597,Fall 2021,Revenue Management And Dynamic Pricing,3,NO,UG,Nothing indicates a sustainability component.,Topics and credit hours vary each semester. Contact department for current semester topic(s). Repeatable for Credit.,Industrial Engineering ,2021-2022,,,,,,
1073,ITAL,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=ITAL,106,Spring 2022,Accelerated First Year Italian,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.",Alternative first year Italian for students who have already completed two semesters of French or Spanish. This is an intensive course covering the equivalents of ITALY 141 and ITAL 142. Students will be prepared for ITAL 263 upon completion of the course.,Center For Language And Interpersonal Communication,2021-2022,,,,,,
1074,ITAL,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=ITAL,141,Fall 2021,First Year Italian I,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.","Development of interactional competence in Italian (sociolinguistic and sociocultural knowledge) to communicate and interact with speakers of Italian. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition. No prior knowledge of this language is necessary. Placement Test is required.",Center For Language And Interpersonal Communication,2021-2022,,,,,,
1075,ITAL,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=ITAL,142,Spring 2022,First Year Italian Ii,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.","Continuation of ITALY 141. Development of interactional competence in Italian (sociolinguistic and sociocultural knowledge) to communicate and interact with speakers of Italian. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition.",Center For Language And Interpersonal Communication,2021-2022,,,,,,
1076,ITAL,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=ITAL,263,Fall 2021,Second Year Italian I,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.","Continuation of ITALY 142. Development of interactional competence in Italian (sociolinguistic and sociocultural knowledge) to communicate and interact with speakers of Italian. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition.",Center For Language And Interpersonal Communication,2021-2022,,,,,,
1077,ITAL,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=ITAL,264,Spring 2022,Second Year Italian Ii,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.","Continuation of ITALY 263. Development of interactional competence in Italian (sociolinguistic and sociocultural knowledge) to communicate and interact with speakers of Italian. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition.",Center For Language And Interpersonal Communication,2021-2022,,,,,,
1078,JAPA,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=JAPA,141,Fall 2021,First Year Japanese I,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.","Development of interactional competence in Japanese (sociolinguistic and sociocultural knowledge) to communicate and interact with speakers of Japanese. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition. No prior knowledge of this language is necessary. Placement Test is required.",Center For Language And Interpersonal Communication,2021-2022,,,,,,
1079,JAPA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=JAPA,142,Spring 2022,First Year Japanese Ii,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.","Continuation of JAPA 141. Development of interactional competence in Japanese (sociolinguistic and sociocultural knowledge) to communicate and interact with speakers of Japanese. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition.",Center For Language And Interpersonal Communication,2021-2022,,,,,,
1080,JAPA,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=JAPA,263,Fall 2021,Second Year Japanese I,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.","Continuation of JAPA 142. Development of interactional competence in Japanese (sociolinguistic and sociocultural knowledge) to communicate and interact with speakers of Japanese. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition.",Center For Language And Interpersonal Communication,2021-2022,,,,,,
1081,JAPA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=JAPA,264,Spring 2022,Second Year Japanese Ii,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.","Continuation of JAPA 263. Development of interactional competence in Japanese (sociolinguistic and sociocultural knowledge) to communicate and interact with speakers of Japanese. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition.",Center For Language And Interpersonal Communication,2021-2022,,,,,,
1082,JAPA,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=JAPA,301,Fall 2021,Third Year Japanese I,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.",Continuation of JAPA 264. Emphasis on developing reading and writing ability as more authentic materials and socio-cultural topics are introduced.,Center For Language And Interpersonal Communication,2021-2022,,,,,,
1083,JAPA,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=JAPA,302,Spring 2022,Third Year Japanese Iii,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.",Continuation of JAPA 301. Emphasis on developing reading and writing ability as more authentic materials and socio-cultural topics are introduced.,Center For Language And Interpersonal Communication,2021-2022,,,,,,
1084,JWST,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=348&p_subj=JWST,348,,Sex & Gender In Jewish Culture,3,N,UG,"No notable focus on sustainability, although it takes up the topic of gender and marginalized identity","How has Jewish identity historically been constructed as gendered, and how has that affected Jewish self-perception and -representation as well as the representations of others? This course explores the intersection between gender and Jewishness from several different historical and cultural perspectives, using literature, film, and philosophy. Cross-list: SWGS 348. Mutually Exclusive: Cannot register for JWST 348 if student has credit for RELI 347/SWGS 347. ",Jewish Studies,2020-21,,,,,,
1085,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KINE,120,Fall 2021,Scientific Foundations Of Kinesiology,3,NO,UG,"This course focused on human movement and motor learning strictly discusses kinesiology topics as they relate to the human body and a medical context, not sustainability.","An introduction to studies in the areas of human movement: anatomy and physiology, exercise physiology, biomechanics, motor learning and control, and psychological aspects of sport and exercise.",Kinesiology,2021-2022,,,,,,
1086,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KINE,300,Fall 2021,Human Anatomy With Lab,4,NO,UG,"This course discusses human anatomy, and is applied in medical models, but does not have a global health context or something that could be connected to core sustainability tenants.",An introduction to normal human anatomy structure and function. All major body systems will be examined in both lecture and laboratory format using a variety of physical and virtual models.,Kinesiology,2021-2022,,,,,,
1087,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KINE,301,Fall 2021,Human Physiology,3,NO,UG,"This human physiology course is too micro to be considered sustainability inclusive, as it only focuses of biological processes of different organs.","This course will address the fundamental principles of human physiology at the cell, tissue, organ, organ system, and organism levels. Emphasis will be placed on mechanisms of function and homeostasis is achieved through the coordinated function of homeostatic control systems.",Kinesiology,2021-2022,,,,,,
1088,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KINE,302,Fall 2021,Biomechanics,3,NO,UG,"This course is an introduction to the discipline of mechanics as it applies to biological systems, but does not delve into core sustainability topics.","An introduction to the discipline of mechanics as it applies to biological systems. Primary emphasis is placed on humans and other vertebrate species. Topics covered include the kinematics and kinetics of movement, material and functional properties of musculoskeletal tissues and the integration of musculoskeletal function from molecules and cells to whole animals.",Kinesiology,2021-2022,,,,,,
1089,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KINE,310,Fall 2021,Psychological Aspects Of Sports And Exercise,3,NO,UG,No sustainability component.,Examine the psychological foundations that underlie sport and exercise participation.,Kinesiology,2021-2022,,,,,,
1090,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KINE,311,Fall 2021,Motor Learning,3,NO,UG,"This course is centered around the study of the physiological and psychological elements of the
perceptual motor learning and motor control processes of particular interest and importance to
physical educators, sport performers and health related professionals. However, it is very specific to kinesiology experts, and does not have a sustainability component.","Designed to provide a basic understanding of the theories related to skill acquisition, development, and movement. Learners develop an understanding of the cognitive, behavioral, and neurological concepts needed to become skilled at movements. The course will also incorporate laboratory experiences in the physiological, neurological, and psychological factors of human movement.",Kinesiology,2021-2022,,,,,,
1091,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KINE,319,Fall 2021,Statistics For The Health Professional ,3,NO,UG,"This course allows students to learn more about and apply common statistical methods used in health professional settings, but it is purely statistical methods and does not have a sustainability focus.","Topics include displaying and describing data, the normal curve, regression, statistical inference including parametric and non-parametric analyses, and hypothesis testing. Students also have the opportunity to analyze data using SPSS and Excel software.",Kinesiology,2021-2022,,,,,,
1092,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=KINE,320,Spring 2022,Human Physiology,3,NO,UG,"This hands-on laboratory course focuses on applying human physiology contexts in a lab setting,  but does not connect to any sustainability topics as designated by the course review methods.","This course provides a hands-on laboratory to demonstrate and apply in-depth human physiology concepts. Students will collect, analyze, and report data on physiological variables. Findings will be applied to key human physiology concepts including homeostasis, isolated and integrated functions of body systems, and response to activity and exercise.",Kinesiology,2021-2022,,,,,,
1093,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KINE,321,Fall 2021,Exercise Physiology,3,NO,UG,The topics discussed are viewed in a physiological function and not with a broader sustainability focused context. ,"This course examines the acute and chronic effects of exercise on physiological functions. Topics include nutrition, energy transfer, fatigue, metabolism, disease, aging, preventative medicine, genetics, elite performance, ergogenic aids, exercise testing, and specificity of training.",Kinesiology,2021-2022,,,,,,
1094,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KINE,375,Fall 2021,Sports Medicine Internship,3,NO,UG,"This internship experience intended for Sports Medicine and Exercise Majors is for students to gain experience in their intended field of study, and does not have a sustainability component.",Internship experience for upperclassmen in the Sports Medicine and Exercise Physiology major.,Kinesiology,2021-2022,,,,,,
1095,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KINE,412,Fall 2021,Motor Controls,3,NO,UG,"This course focused on motor controls has a very micro perspective, and cannot be connected to a broader sustainability topic.","Exploration of the neurophysiological, behavioral, and biomechanical aspects of human movement and development.",Kinesiology,2021-2022,,,,,,
1096,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KINE,415,Fall 2021,Psychological Aspects Of Sports Injury And Rehabilitation,3,NO,UG,"Sports related injuries can take a large toll on an athlete, and while this course examines different ways the psychological process affects injuries, it cannot be connected to a broader sustainability topic.","This course examines the psychological factors involved in sport-related injuries and the rehabilitation process. Topics include personal and situational factors influencing injury and recover, adherence to rehabilitation programs, social support, returning to play after injury, and the application of psychological interventions to optimize the recovery process.",Kinesiology,2021-2022,,,,,,
1097,KINE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KINE,440,Fall 2021,Research Methods,3,NO,UG,"This research methods course strictly focuses on the research process as it relates to the field of kinesiology, but does not connect to sustainability topics in a broader sense.","Designed to introduce students to research methods, statistical techniques, and topics appropriate for experimental research.",Kinesiology,2021-2022,,,,,,
1098,KORE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KORE,141,Fall 2021,First Year Korean I,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.","Development of interactional competence in Korean (sociolinguistic and sociocultural knowledge) to communicate and interact with speakers of Korean. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition. No prior knowledge of this language is necessary. Placement Test is required.",Center For Language And Interpersonal Communication,2021-2022,,,,,,
1099,KORE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=KORE,142,Spring 2022,First Year Korean Ii,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.","Continuation of KORE 141. Development of interactional competence in Korean (sociolinguistic and sociocultural knowledge) to communicate and interact with speakers of Korean. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition.",Center For Language And Interpersonal Communication,2021-2022,,,,,,
1100,KORE,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=KORE,301,Fall 2021,Third Year Korean I,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.",Continuation of KORE 264. Emphasis on developing reading and writing ability as more authentic materials and socio-cultural topics are introduced.,Center For Language And Interpersonal Communication,2021-2022,,,,,,
1101,KORE,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=KORE,302,Spring 2022,Third Year Korean Ii,3,NO,UG,"Centered around language acquisition and development language skills, but does not talk about sustainability topics.",Continuation of KORE 301. Emphasis on developing reading and writing ability as more authentic materials and socio-cultural topics are introduced.,Center For Language And Interpersonal Communication,2021-2022,,,,,,
1102,LASR,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=251&p_subj=HIST,251,,Brazil: Continuity & Change,3,Y - included,UG,"The focus on ""environmental, political, and economic"" conflicts over the development of the Amazon relates to sus challenges of resource use and economic development","An exploration of themes essential to understanding modern Brazil, such as the origins of a multi-racial society, the transition from monoculture to industry, authoritarian and democratic trends, the emergence of a uniquely Brazilian culture, and the conflicts - environmental, political, and economic - over the development of the Amazon. ",Modern And Classical Literature And Culture,2020-21,,,,,,
1103,LASR,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=373&p_subj=LASR,373,,Women'S Social Movements,3,Y - included,UG,Emphasis of gendered inequality and how social movements have operated to confront this sus challenge over time,The course will examine the historical development of women's social movements in Latin America and the Caribbean. We will explore how they are transforming the region through their diverse forms of political engagement. This is a lecture/seminar course that emphasizes writing and discussion. ,Modern And Classical Literature And Culture,2020-21,,,,,,
1104,LASR,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=374&p_subj=LASR,374,,Feminist And Queer Theory In The African Diaspora,3,Y - focus,UG,"Focus on ""Black feminist and queer theory... in order to understand how racial difference shapes gender and sexual identities""",This course provides an interdisciplinary overview of the body of Black feminist and queer theory that has emerged within the last forty years. We will examine these frameworks in order to understand how racial difference shapes gender and sexual identities. This is a seminar that emphasizes research and discussion. Cross-list: SWGS 374.,Modern And Classical Literature And Culture,2020-21,,,,,,
1105,LASR,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=375&p_subj=LASR,375,,Women'S Activism In The Urban Metropolis,3,Y - focus,UG,"Oriented towards understanding women's ""experiences"" and ""the shared, yet distinct, trajectories that orient their struggle to resist poverty, racism, homophobia, and sexual and reproductive violence""","This course will investigate the contemporary writings of Latina and African American women in urban spaces across the U.S. Understanding these women's experiences in relationship to each other will reveal the shared, yet distinct, trajectories that orient their struggle to resist poverty, racism, homophobia, and sexual and reproductive violence. Cross-list: SWGS 375.",Modern And Classical Literature And Culture,2020-21,,,,,,
1106,LASR,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=376&p_subj=LASR,376,,Chicana/Latina Experience Through Film,3,Y - focus,UG,"Oriented towards sus challenges of gendered, class, and racial inequality through exploration of ""women's response to each other and forces of conquest, cpaitalism, and patriarchy"" and their ""conceptualization and assertion of feminism, activism, and history""","This seminar explores the Chicana and Latina experience in the U.S. We examine these women's response to each other and forces of conquest, capitalism, and patriarchy. Novels, oral life histories, film, and art will be used to interrogate these women's conceptualization and assertion of feminism, activism, and history. Cross-list: SWGS 376.",Modern And Classical Literature And Culture,2020-21,,,,,,
1107,LASR,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=378&p_subj=LASR,378,,Latin American Political Thought,3,Y - included,UG,"Section oriented towards ""liberation"" likely addresses sus challenges","This course gives students an overview of the main thinkers, currents, concepts, and topics in Latin American and Latinx political thought. It is organized around three modules that address central topics: identity & transculturation; liberation; and modernity. Taught in English. Counts toward the minor in PLST. ",Modern And Classical Literature And Culture,2020-21,,,,,,
1108,LASR,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=390&p_subj=LASR,390,,Tech Culture And Society In Latin America,3,Y - included,UG,"Looking at the impact of technology on imagining potential ""post-neoliberal futures""","What is the role of technology in helping Latin America articulate a post-neoliberal future? This course examines the past, present, and future of the relation between technology and society in Latin America, focusing on contemporary efforts in popular culture and media to syncretize old and new forms of knowledge and techno-social production. Taught in English. ",Modern And Classical Literature And Culture,2020-21,,,,,,
1109,LATI,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=LATI,101,Fall 2021,Elementary Latin I,3,NO,UG,"This course aims for students to gain insights into ancient Roman civilization through direct contact with Latin language and literature, but does not have a sustainability component.
",Study of the fundamentals of Latin grammar with emphasis on acquisition of reading skills.,Modern & Classical Literatures And Cultures,2021-2022,,,,,,
1110,LATI,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=LATI,102,Spring 2022,Elementary Latin Ii,3,NO,UG,"This course aims for students to gain insights into ancient Roman civilization through direct contact with Latin language and literature, but does not have a sustainability component.
",Continuation of LATI 101 and MDST 101. Graduate students require permission of instructor.,Modern & Classical Literatures And Cultures,2021-2022,,,,,,
1111,LATI,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=LATI,201,Fall 2021,Intermediate Latin: Prose I,3,NO,UG,"This course aims for students to begin reading continuous Latin texts in the original, with careful attention to the nuances of the language, but solely focuses on language acquisition and on developing reading skills, not on developing sustainability knowledge.
",Review of grammar and readings in Latin prose.,Modern & Classical Literatures And Cultures,2021-2022,,,,,,
1112,LATI,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=LATI,202,Spring 2022,Intermediate Latin Ii,3,NO,UG,"This course aims for students to begin reading continuous Latin texts in the original, with careful attention to the nuances of the language, but solely focuses on language acquisition and on developing reading skills, not on developing sustainability knowledge.
",Readings in Virgil.,Modern & Classical Literatures And Cultures,2021-2022,,,,,,
1113,LATI,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=LATI,318,Spring 2022,Cicero,3,NO,UG,"The course goals for this class include learning to understand Cicero’s Latin, with a view to grammatical coherence, accuracy, vocabulary, sentence structure, and idiom; and learning to understand Cicero’s rhetoric, argument, insinuations, and politics. However, because this class only focuses on one Latin author, it fails to be considered as sustainability focused or inclusive.","This course features readings in Cicero (1st c. BCE), the politician, orator, and philosopher of first-century BCE Rome. The single most influential writer in Latin, Cicero is also a primary source for the fall of the Roman Republic. Spring 2016 will focus on the speech Pro Caelio, addressed to a law course in defense of the Roman aristocrat Caelius Rufus, and one of Cicero's most entertaining speeches.",Modern & Classical Literatures And Cultures,2021-2022,,,,,,
1114,LATI,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=LATI,350,Fall 2021,Translating Latin Literature: Theory And Practice,3,NO,UG,"This course hopes that students come to a deeper understanding of Latin, through the close attention to the language that translation demands. This does not translate into broader sustainability topics.",A thorough examination of the art of translating Latin Literature. Students will survey ancient and modern theories of translation; study a range of translations of select Latin texts; and produce their own translations of prose and verse Latin originals.,Modern & Classical Literatures And Cultures,2021-2022,,,,,,
1115,LEAD,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=102&p_subj=LEAD,102,,Intro To Civic Leadership,3,Y - focus,UG,Oriented towards addressing sus challenges/affecting social change through civic leadership,LEAD 102 will increase students' understanding of civic leadership in theory and practice. Simulations and case studies will examine how public leaders effect societal change while projects on campus and in the community will provide the opportunity to work in small groups to analyze and address leadership challenges and present findings to stakeholders. ,Center For Civic Leadership,2020-21,,,,,,
1116,LEAD,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=260&p_subj=LEAD,250,,Leadership And Civic Professionalism,3,Y - focus,UG,Oriented towards addressing sus challenges/affecting social change through political advocacy,Advocating for change is an experiential learning course that teaches students how to engage in issue advocacy as a method of social change. Students work in teams with faculty mentors to develop and implement an advocacy plan for a particular cause or policy of interest. Cross-list: POLI 260.,Center For Civic Leadership,2020-21,,,,,,
1117,LEAD,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=333&p_subj=LEAD,333,,Stem Outreach,3,Y - included,UG,"Oriented towards STEM education, but culminates with ""writing a proposal to address a need in education, education policy, and/or community issues"" - in this way, addresses sus challenges related to inequality through the lens of schools","Students teach prepared 4th-grade science lessons in Houston area elementary schools. Students meet weekly with faculty to practice implementing the activities, discuss pedagogical techniques, and delve into issues relating to education and our community. The culminating project is writing a proposal to address a need in education, education policy, and/or community issues. ",Center For Civic Leadership,2020-21,,,,,,
1118,LEAD,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=340&p_subj=LEAD,340,,Philanthropy T & L,3,Y - included,UG,"Addressing sus challenges/""public need"" through philanthropy as a means of social change; action-oriented","Study of the history, philosophy, and practice of philanthropy in addressing public need with an introduction to ethics and importance of financial giving and community investment. Students will spend substantial time working with local nonprofits in order to select a recipient for a grant awarded by the class.
 ",Center For Civic Leadership,2020-21,,,,,,
1119,LING,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=205&p_subj=LING,205,,Language And Society,3,Y - included,UG,Helping students understand race/ethnicity and gender through analysis of linguistic patterns,"This course treats language as a social phenomenon to show how language, personal identity and institutions of social control inter-relate. The course focuses on linguistic interaction in daily life and how gender, ethnic, class, activity, and geographic variation affect language use. Cross-list: SWGS 205.",Linguistics,2020-21,,,,,,
1120,LING,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=303&p_subj=LING,303,,Language And Gender,3,Y - included,UG,"Helps students understand gender inequality through the ""theoretical, cultural, and social grounding of gender and language use"" in practice and in research","This course examines the theoretical, cultural, and social grounding of gender and language use. We use analytical tools from linguistics, cognitive science, cultural anthropology, psychology and biology. Emphasis is placed on the historical role of gender in such research, and the debates that result as perspectives shift. ",Linguistics,2020-21,,,,,,
1121,LING,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=322&p_subj=LING,322,,Language And Ethnicity,3,Y - included,UG,"Helps students understand racial inequality through the lens of language, looking at ""both speech production and speech perception""","This course explores the role that ethnicity plays in various language varieties used in the U.S., and the role that language varieties play in ethnic identity. We examine this from both speech production and speech perception perspectives. ",Linguistics,2020-21,,,,,,
1122,LING,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=415&p_subj=LING,415,,Sociolinguistics,3,Y - included,UG,"""We examine the linguistic consequences to sepakers of their group memberships such as gender, race, class, and sexuality"" - examining sus challenges of inequality through the lens of language use patterns","This course covers contemporary sociolinguistic theory and methodologies. We examine the linguistic consequences to speakers of their group memberships such as gender, race, class and sexuality. Cross-list: SWGS 415.",Linguistics; Swgs,2020-21,,,,,,
