,Course,Course URL,Subject,Last Offered,Course Title,Credits Offered,Assessment of Sustainability Focused or Inclusive,Offered to UG/G/Both or Other,Justification for classification (including quotes from syllabi/course descriptions where applicable),Description,Course Home Department,Last Catalog Year Reviewed,Unnamed: 12,"The courses were counted using catalog listings with language that is aligned with the Earth Charter, covering topics such as ecological integrity, social and economic justice, and democracy and nonviolence.  Course descriptions that included terms like ""environment,"" ""sustainable/sustainability,"" and ""energy"" were counted as Sustainability-Focused courses, and the other courses that address a topic from the Earth Charter but are not centrally-focused on sustainability were considered Sustainability-Included courses.",Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
14,ASIA,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=212&p_subj=ANTH,212,Spring 2022,Perspectives On Modern Asia,3,Y - included,UG,"Covers the themes of global development and inequality as well as change over time; specific focus on social and economic development/change, but not necessarily on solving or addressing problems.","A team-taught interdisciplinary course focusing on the political, social, and economic forces that are shaping the lives of the nearly 1/2 of the world's population that lives in Asia. Provides a selective, in-depth look at certain important areas of East, Southeast, and South Asia that reflect larger themes and problems. ",Asian Studies,2020-21,,,,,,
15,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=302&p_subj=ANTH,302,Fall 2019 but no syllabus available,Anthropological Theory,3,N,UG,"It provides frameworks for thinking about the themes of global development, inequality, poverty, cultural differences, etc. However, from the limited material available, it seems the actual content of the course is not focused enough on sustainability-related applications for this to count.",A survey of the major theorists and theoretical schools of social-cultural anthropology.,Anthropology,2020-21,,,,,,
16,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=308&p_subj=ANTH,308,,The Historical Imagination,3,N,UG,Emphasis on change and cultural difference - BUThas a strong focus on the discipline of history rather than a social issue or sustainability-like challenge.,"Explores ideas of history and attitudes toward the past as culturally conditioned phenomena. Emphasizes history as a statement of cultural values as well as conceptualizations of cause, change, time, and reality.",Anthropology,2020-21,,,,,,
17,SWGS,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=308&p_subj=ANTH,336,,The Historical Imagination,3,N,UG,Emphasis on change and cultural difference - BUThas a strong focus on the discipline of history rather than a social issue or sustainability-like challenge.,"Explores ideas of history and attitudes toward the past as culturally conditioned phenomena. Emphasizes history as a statement of cultural values as well as conceptualizations of cause, change, time, and reality.","Study Of Women, Gender, And Sexuality",2020-21,,,,,,
18,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=309&p_subj=ANTH,309/509,,Global Cultures,3,Y - focus,Both,"Globalization, global change and development, social movements - centrally concerned with migration, which is certainly a sustainibility challenge.","This course will examine specific cultural debates and issues that have ""overflowed"" national boundaries. Topics will include student movements, democracy and citizenship, and the internationalization of professional and popular culture.",Anthropology,2020-21,,,,,,
19,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=310&p_subj=ANTH,310,,Contemporary Chinese Culture,3,N,UG,"Globalization, global change and development, cultural competency - but at the same time, more focused on China and learning more about it than its relation to sustainabiility challenges. ","This introductory course is designed to encourage ways of thinking about: Cultural China - a broad-ranging concept that includes the People's Republic of China, the newly established Special Administrative Region (SAR) of Hong Kong, the Republic of China on Taiwan, and overseas Chinese communities throughout the world. ",Anthropology,2020-21,,,,,,
20,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=311&p_subj=ANTH,311/511,Spring 2020,Masculinities,3,Y - included,Both,"Deals with gender inequality, gender and race, as well as gender in law, politics, and conflict; the role of masculinity in society. Gives a more nuanced way to think about these topics, but does not necessarily go into the territory of solving the problems they propose.","This course deals with masculinities in the West, concentrating on concepts of masculine protagonism and personhood. Readings explore identities constructed in realms such as law, politics, finances, art, the home, and war. ",Anthropology,2020-21,,,,,,
21,SWGS,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=311&p_subj=ANTH,333,Spring 2020,Masculinities,3,Y - included,Both,"Deals with gender inequality, gender and race, as well as gender in law, politics, and conflict; the role of masculinity in society. Gives a more nuanced way to think about these topics, but does not necessarily go into the territory of solving the problems they propose.","This course deals with masculinities in the West, concentrating on concepts of masculine protagonism and personhood. Readings explore identities constructed in realms such as law, politics, finances, art, the home, and war. ","Study Of Women, Gender, And Sexuality",2020-21,,,,,,
22,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=312&p_subj=ANTH,312/512,Spring 2022,The Archaeology Of Africa,3,Y - focus,Both,"Syllabus discusses ""Aftrican futures,"" ""assessing legacies of colonialism and racism in archaeology,"" looking at past to present transitions. Syllabus also proposes the goal of ""link[ing] archaeological knowledge about the past to present and future economic, cultural heritage, and environmental challenges in Africa, committing to protecting heritage"". the central importance of legacies and the sustainability of cultural knowledge seems relevant to the sustainability challenges/goals.","Thematic coverage of developments throughout the continent from the Lower Paleolithic to medieval times, with emphasis on food production, metallurgy, and the rise of cities and complex societies. ",Anthropology,2020-21,,,,,,
23,MDEM,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=312&p_subj=ANTH,311,Spring 2022,The Archaeology Of Africa,3,Y - focus,Both,"Syllabus discusses ""Aftrican futures,"" ""assessing legacies of colonialism and racism in archaeology,"" looking at past to present transitions. Syllabus also proposes the goal of ""link[ing] archaeological knowledge about the past to present and future economic, cultural heritage, and environmental challenges in Africa, committing to protecting heritage"". the central importance of legacies and the sustainability of cultural knowledge seems relevant to the sustainability challenges/goals.","Thematic coverage of developments throughout the continent from the Lower Paleolithic to medieval times, with emphasis on food production, metallurgy, and the rise of cities and complex societies. ",Medieval And Early Modern Studies,2020-21,,,,,,
24,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=314&p_subj=ANTH,314/514,Spring 2022,Ships In The Anthropological Imagination,3,Y - included,Both,"Aims to teach about ""social, political, and economic life"" through ships. Topics include global economic and social development (globalization); consumption and waste; conquest, disease, and imperialism; health inequalities; colonization","This course interrogates what we can learn about social, political and economic life by examining ships. Ships have long inspired social theory and anthropological thinking. Seen from the shore, ships not only carried commodities, but also signified conquest, disease, and imperial power. They were characterized as instruments of economic development for some and as tools of oppression for others. As shipping and logistics have emerged as defining features of contemporary global exchange, ships have acquired new forms and functions. In addition to analyzing shipyards, ports, and ship-breaking facilities, this course will look at a wide-range of vessels, such as slave ships, spaceships, containerships, pirate ships, and rescue vessels and refugee ships in different parts of the world. ",Anthropology,2020-21,,,,,,
25,ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=315&p_subj=ANTH,315/515,,Zooarchaeology,3,N,Both,"A unit focuses on relevance to conservation biology and other modern topics; generally looking at biodiversity and non-human life preservation. However, these topics are not specific to sustainability challenges, just conservation and biodiversity (not necessraily the same thing)","This course introduces students to the study of ancient animal remains. Through laboratory exercises, students learn to identify bones and teeth of diverse animals and to distinguish natural and anthropogenic processes affecting fossil and archaeological bones. Key topics in human-animal relations are addressed, including paleoecology, the food quest, animal domestication, and the roles of animals in ancient culinary, ritual, and other social settings; as well as covering relevance of the past to present-day issues such as conservation biology.",Anthropology,2020-21,,,,,,
