Course,Course URL,Subject,Last Offered,Course Title,Credits Offered,Assessment of Sustainability Focused or Inclusive,Offered to UG/G/Both or Other,Justification for classification (including quotes from syllabi/course descriptions where applicable),Description,Course Home Department,Last Catalog Year Reviewed,,"The courses were counted using catalog listings with language that is aligned with the Earth Charter, covering topics such as ecological integrity, social and economic justice, and democracy and nonviolence.  Course descriptions that included terms like ""environment,"" ""sustainable/sustainability,"" and ""energy"" were counted as Sustainability-Focused courses, and the other courses that address a topic from the Earth Charter but are not centrally-focused on sustainability were considered Sustainability-Included courses.",,,,
AFSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202210&p_subj=AFSC,401,Fall 2021,National Security Affairs I,3,N,UG,No indication of sustainability focus or inclusivity.,"Evolution of the role of national security in a democratic society with emphasis on policy formation, competing values, and organization. Civilian control of the military, roles of the services; functions of the Air Force Commands.",Air Force Science,2021-2022,,,,,,
AFSC,https://courses.rice.edu/courses/courses/!SWKSCAT.cat?p_action=QUERY&p_term=202220&p_subj=AFSC,402,Spring 2022,National Security Affairs Ii,3,N,UG,No indication of sustainability focus or inclusivity.,Continuation of AFSC 401,Air Force Science,2021-2022,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=203&p_subj=ANTH,203,Fall 2020,Introduction To Biological Anthropology,3,N,UG,Intro classes are not adequately aimed towards sustainability,"This course offers a broad introduction to the human past as revealed by evolutionary studies of both biochemical and fossil evidence, and by archaeological studies of human cultural behavior. ",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=212&p_subj=ANTH,212,Spring 2022,Perspectives On Modern Asia,3,Y - included,UG,"Covers the themes of global development and inequality as well as change over time; specific focus on social and economic development/change, but not necessarily on solving or addressing problems.","A team-taught interdisciplinary course focusing on the political, social, and economic forces that are shaping the lives of the nearly 1/2 of the world's population that lives in Asia. Provides a selective, in-depth look at certain important areas of East, Southeast, and South Asia that reflect larger themes and problems. ",Anthropology,2020-21,,,,,,
ASIA,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=212&p_subj=ANTH,212,Spring 2022,Perspectives On Modern Asia,3,Y - included,UG,"Covers the themes of global development and inequality as well as change over time; specific focus on social and economic development/change, but not necessarily on solving or addressing problems.","A team-taught interdisciplinary course focusing on the political, social, and economic forces that are shaping the lives of the nearly 1/2 of the world's population that lives in Asia. Provides a selective, in-depth look at certain important areas of East, Southeast, and South Asia that reflect larger themes and problems. ",Asian Studies,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=302&p_subj=ANTH,302,Fall 2019 but no syllabus available,Anthropological Theory,3,N,UG,"It provides frameworks for thinking about the themes of global development, inequality, poverty, cultural differences, etc. However, from the limited material available, it seems the actual content of the course is not focused enough on sustainability-related applications for this to count.",A survey of the major theorists and theoretical schools of social-cultural anthropology.,Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=308&p_subj=ANTH,308,,The Historical Imagination,3,N,UG,Emphasis on change and cultural difference - BUThas a strong focus on the discipline of history rather than a social issue or sustainability-like challenge.,"Explores ideas of history and attitudes toward the past as culturally conditioned phenomena. Emphasizes history as a statement of cultural values as well as conceptualizations of cause, change, time, and reality.",Anthropology,2020-21,,,,,,
SWGS,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=308&p_subj=ANTH,336,,The Historical Imagination,3,N,UG,Emphasis on change and cultural difference - BUThas a strong focus on the discipline of history rather than a social issue or sustainability-like challenge.,"Explores ideas of history and attitudes toward the past as culturally conditioned phenomena. Emphasizes history as a statement of cultural values as well as conceptualizations of cause, change, time, and reality.","Study Of Women, Gender, And Sexuality",2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=309&p_subj=ANTH,309/509,,Global Cultures,3,Y - focus,Both,"Globalization, global change and development, social movements - centrally concerned with migration, which is certainly a sustainibility challenge.","This course will examine specific cultural debates and issues that have ""overflowed"" national boundaries. Topics will include student movements, democracy and citizenship, and the internationalization of professional and popular culture.",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=310&p_subj=ANTH,310,,Contemporary Chinese Culture,3,N,UG,"Globalization, global change and development, cultural competency - but at the same time, more focused on China and learning more about it than its relation to sustainabiility challenges. ","This introductory course is designed to encourage ways of thinking about: Cultural China - a broad-ranging concept that includes the People's Republic of China, the newly established Special Administrative Region (SAR) of Hong Kong, the Republic of China on Taiwan, and overseas Chinese communities throughout the world. ",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=311&p_subj=ANTH,311/511,Spring 2020,Masculinities,3,Y - included,Both,"Deals with gender inequality, gender and race, as well as gender in law, politics, and conflict; the role of masculinity in society. Gives a more nuanced way to think about these topics, but does not necessarily go into the territory of solving the problems they propose.","This course deals with masculinities in the West, concentrating on concepts of masculine protagonism and personhood. Readings explore identities constructed in realms such as law, politics, finances, art, the home, and war. ",Anthropology,2020-21,,,,,,
SWGS,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=311&p_subj=ANTH,333,Spring 2020,Masculinities,3,Y - included,Both,"Deals with gender inequality, gender and race, as well as gender in law, politics, and conflict; the role of masculinity in society. Gives a more nuanced way to think about these topics, but does not necessarily go into the territory of solving the problems they propose.","This course deals with masculinities in the West, concentrating on concepts of masculine protagonism and personhood. Readings explore identities constructed in realms such as law, politics, finances, art, the home, and war. ","Study Of Women, Gender, And Sexuality",2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=312&p_subj=ANTH,312/512,Spring 2022,The Archaeology Of Africa,3,Y - focus,Both,"Syllabus discusses ""Aftrican futures,"" ""assessing legacies of colonialism and racism in archaeology,"" looking at past to present transitions. Syllabus also proposes the goal of ""link[ing] archaeological knowledge about the past to present and future economic, cultural heritage, and environmental challenges in Africa, committing to protecting heritage"". the central importance of legacies and the sustainability of cultural knowledge seems relevant to the sustainability challenges/goals.","Thematic coverage of developments throughout the continent from the Lower Paleolithic to medieval times, with emphasis on food production, metallurgy, and the rise of cities and complex societies. ",Anthropology,2020-21,,,,,,
MDEM,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=312&p_subj=ANTH,311,Spring 2022,The Archaeology Of Africa,3,Y - focus,Both,"Syllabus discusses ""Aftrican futures,"" ""assessing legacies of colonialism and racism in archaeology,"" looking at past to present transitions. Syllabus also proposes the goal of ""link[ing] archaeological knowledge about the past to present and future economic, cultural heritage, and environmental challenges in Africa, committing to protecting heritage"". the central importance of legacies and the sustainability of cultural knowledge seems relevant to the sustainability challenges/goals.","Thematic coverage of developments throughout the continent from the Lower Paleolithic to medieval times, with emphasis on food production, metallurgy, and the rise of cities and complex societies. ",Medieval And Early Modern Studies,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=314&p_subj=ANTH,314/514,Spring 2022,Ships In The Anthropological Imagination,3,Y - included,Both,"Aims to teach about ""social, political, and economic life"" through ships. Topics include global economic and social development (globalization); consumption and waste; conquest, disease, and imperialism; health inequalities; colonization","This course interrogates what we can learn about social, political and economic life by examining ships. Ships have long inspired social theory and anthropological thinking. Seen from the shore, ships not only carried commodities, but also signified conquest, disease, and imperial power. They were characterized as instruments of economic development for some and as tools of oppression for others. As shipping and logistics have emerged as defining features of contemporary global exchange, ships have acquired new forms and functions. In addition to analyzing shipyards, ports, and ship-breaking facilities, this course will look at a wide-range of vessels, such as slave ships, spaceships, containerships, pirate ships, and rescue vessels and refugee ships in different parts of the world. ",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=315&p_subj=ANTH,315/515,,Zooarchaeology,3,N,Both,"A unit focuses on relevance to conservation biology and other modern topics; generally looking at biodiversity and non-human life preservation. However, these topics are not specific to sustainability challenges, just conservation and biodiversity (not necessraily the same thing)","This course introduces students to the study of ancient animal remains. Through laboratory exercises, students learn to identify bones and teeth of diverse animals and to distinguish natural and anthropogenic processes affecting fossil and archaeological bones. Key topics in human-animal relations are addressed, including paleoecology, the food quest, animal domestication, and the roles of animals in ancient culinary, ritual, and other social settings; as well as covering relevance of the past to present-day issues such as conservation biology.",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=316&p_subj=ANTH,316,,Black Decolonial Feminisms,3,Y - focus,Both,"Focused on themes of migration, land rights, social inequality, and practices of resistance ","This course will use both historical and contemporary readings focusing on Black and decolonial/anticolonial feminisms as theory and praxis to reflect on the particular experiences of Afro-descendants throughout the Americas. Through a close reading of scholarly and popular texts focusing on the experiences of Black women throughout the Americas (with particular emphasis on Latin America and the Caribbean) we will engage with themes including transnationalism and migration, language, belonging, gender and sexuality, land rights, social inequality and practices of resistance. We will also analyze how art (music, visual and performance art) and activism represent important sites of resistance to contemporary struggles faced by Black communities.",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=317&p_subj=ANTH,317/517,Spring 2022,Revolutions And Utopias,3,Y - focus,Both,"Either inclusive or focused - not sure which. Focuses on the idea of revolution and utopia - political transformation, politics, globalization, the anthropocene, etc. are all central to the syllabus and course description","In order to gain a more precise grasp of our contemporary political challenges and possibilities, this course in political anthropology investigates a wide range of historical and contemporary cases of rapid political and social transformation and carefully examines the ideas, desires and utopias that inspired them.",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=319&p_subj=ANTH,319/519,,Symbolism And Power,3,N,Both,Discussions of violence and power,"This course considers anthropological theories of the state and examines ethnographic accounts of states in some unexpected places - that is, outside the official realm of government bureaucracies and institutionalized politics. Topics include so-called ""stateless societies,"" planning and bureaucratic rationality, violence and power, and ethnographic methods for studying the state. ",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=320&p_subj=ANTH,320,Summer 2021 but no syllabus available,Climate Change And Social Inequality,3,Y - focus,UG,Focused specifically on both climate change and social inequality,"This course uses a social scientific approach to analyze and understand the relationship between climate change and social inequality. Through course readings, discussion and guest speakers, students will examine how the social, political, economic and ecological impacts of climate change exacerbate existing social inequities and disproportionately affect vulnerable communities. The course will also explore the concept of climate justice as a political and ethical framework for addressing climate change impacts and inequality. ",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=321&p_subj=ANTH,321/521,,Social Life Of Dna,3,Y - included,Both,"Deals with ""our ideas of disability, race, kinship, citizenship, nationalism, and justice""  - looking at DNA as a way to understand and explain our problems and conflicts as a society. Yet... this is quite vague, so I am unsure.","This upper level seminar examines the increasing significance of genetics as a central component of our social, economic, and political life. As the potential applications of DNA to our social life increasingly appear endless, this course asks how is genetic information reshaping our understanding of the value of life itself? In addition to identifying markers, scientific knowledge production around genetic information is reconstituting key ideas of risk, care, capital that impact our ideas of disability, race, kinship, citizenship, nationalism, and justice. In this class, our aim is to ask a) what is historically and materially distinct about genetic information as a metaphor for social processes, b) how is the value of life itself being reproduced and transformed for whom, and c) what are potential consequences we face by relating to one another through the geneticization of social life?",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=322&p_subj=ANTH,322/522,Taught in spring 2020 but syllabus unavailable,Global Im/Mobilities,3,Y - included,Both,"Gobalization, race and racism, nature-society relationship, cultural differences","How do cultural conceptions of race, ethnicity, and nationalism shape who we think we are? How are these ideas related to Western views of the relations between nature and society, and how do these differ from those in other cultures?",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=326&p_subj=ANTH,326/526,,"Law, Power, And Culture",3,N,Both,"Though systems of law may play a role in causing and resolving sus challenges, this is not directed enough to warrant inclusion","An exploration of normativity and its different social forms across the world. It combines theoretical and ethnographic analyses of legal institutions and practices as cultural phenomena undergirded by power relations, knowledge forms and historical forces. ",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=330&p_subj=ANTH,330,,Geoarchaeology,3,N,UG,"Environmental analysis, landscape evolution - however, just because it is related to the environment does not mean it is related to sustainability.","Overview of the basics of the analysis of soils and sediments as related to archaeological deposits, and introducing the key concepts of surficial geology, site formation, landscape evolution, and the scope of depositional environments. Includes practical methods for describing stratigraphy, sediments and soil profiles in the field.",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=332&p_subj=ANTH,332/532,Spring 2022,Social Life Of Clean Energy,3,Y - focus,Both,"Renewables and their cultural importance/significance, globalization. ""explore[s] the history of how we came to be in our current energy sistuation... review[s] the many forms of clean power currently ascending to prominence and analyze[s] their positive and negative environmental and social impacts... look[s] forward toward the horizon of clean energy and investigate[s] what might be coming next""","This course considers the phenomenon of renewable energy, using a social scientific approach to analyze the various forces and interests involved in the development of renewable energy projects (such as hydropower, solar and wind) in both the global North and South. ",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=333&p_subj=ANTH,333/533,,The Material World,3,N,Both,"Commodification, consumption - but these do not seem like true focus topics of the course. ","This course explores the mutually constructive relationship between humans and objects; it asks how objects are made meaningful and active by humans, and how, in turn, people acquire meaning, relations, and agency through material culture. Topics include: commoditization, consumption, gift exchange, subjects and objects, identity, fashion, collecting, art, and authenticity. ",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=336&p_subj=ANTH,336/536,,Becoming A Doctor,3,N,Both,Health justice - but does not specify that it relates to confronting challenges or bettering the field/critically evaluating health inequities,"The course introduces such classic anthropological concepts as the rite of passage and the cultural system as frames for the investigation of the professionalization of medicine as a discipline, medical training and the changing epistemologies of medical knowledge and the changing scope and content of the medical cosmos.",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=340&p_subj=ANTH,340,Fall 2020,Neoliberalism And Globalization,3,Y - included,Both,"Potentially included (even focused??): globalization, neoliberal policy, change over time, fascist and socialist movement. In addition, there is a section of the course devoted to ""discuss[ing] the ecological and economic legaicies of neoliberalism as the world sseeks to reconcile the growth logic of global capitalism with the environmental crises of the Anthropocene""","This course explores the relationship between two of the most powerful forces shaping the world today: economic globalization and political neoliberalism. Using ethnographic, policy and theoretical documentation drawn from a variety of case studies, we will reconstruct the interrelated origins of globalization and neoliberalism and map their social and cultural impacts across the world. ",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=341&p_subj=ANTH,341/541,Spring 2020,Museums And Heritage,,Y - included,G,"Thinking about the sustainability of cultures andcultural artifacts by way of preservation and education. ""understand the historical, shifting roles of objects, including art, in museums, particularly with regard to the concept of heritage""","A wide-ranging introduction to museum studies with a particular focus on the collection and exhibition of cultural heritage materials. We will examine how heritage objects are displayed and represented in museums of art, natural historical history, and heritage. Topics include looking and ethics of collecting, policies of display, changing roles for museums; exhibition design and curatorial practice. ","Anthropology, Hurc",2020-21,,,,,,
HURC,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=341&p_subj=ANTH,342,Spring 2021,Museums And Heritage,,Y - included,G,"Thinking about the sustainability of cultures andcultural artifacts by way of preservation and education. ""understand the historical, shifting roles of objects, including art, in museums, particularly with regard to the concept of heritage""","A wide-ranging introduction to museum studies with a particular focus on the collection and exhibition of cultural heritage materials. We will examine how heritage objects are displayed and represented in museums of art, natural historical history, and heritage. Topics include looking and ethics of collecting, policies of display, changing roles for museums; exhibition design and curatorial practice. ","Anthropology, Hurc",2020-2021,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=343&p_subj=ANTH,343,,New Religious Movements In Africa,3,Y - focus,UG,"Globalization, imperialism, inequality, indigenous religions","Discusses new religious movements and the religious, sociological, and political factors leading to their rise, also missionary and colonial reactions to them. Examines their relationship to indigenous religions, political praxis, and their focus on this-worldly salvation in the wake of political and economic marginality. ",Anthropology,2020-21,,,,,,
RELI,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=343&p_subj=ANTH,343,,New Religious Movements In Africa,4,Y - focus,UG,"Globalization, imperialism, inequality, indigenous religions","Discusses new religious movements and the religious, sociological, and political factors leading to their rise, also missionary and colonial reactions to them. Examines their relationship to indigenous religions, political praxis, and their focus on this-worldly salvation in the wake of political and economic marginality. ",Religion,2020-22,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=344&p_subj=ANTH,344/544,Fall 2020,City/Culture,3,Y - included,Both,"Included or even focused: Urban planning, industrialization, urbanization, colonialism. Interested in ""the way we view and inhabit our urban environments,"" focusing on ""infrastructures tha tmake up the cit, such as garbage collection, transportation, water and electricity"". Also looks at gender, sexuality, and labor. In addition, several readings look at the future of cities and technology and deal with climate change","The course treats both the theorization and the ethnographic exploration of the urban imaginary; urban spaces and practices; urban, suburban, and post-urban planning; city-states, colonial cities, and capital cities; and the late 20th century metropolis.",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=347&p_subj=ANTH,347/547,Spring 2019,The Us As A Foreign Country,3,N,Both,"Upon reviewing syllabus, not convinced. Was thinking about cultural relativism and development, but this is not really what it is about. ","The course looks at selected aspects of American culture and society from an anthropological point of view. Readings derive from the works of both foreign and native observers, past and present. ",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=348&p_subj=ANTH,348/548,Spring 2019,The Anthropologies Of Nature,3,Y - focus,Both,"Focused: centrally concerned with thinking critically about nature, the human-nature relationship, and the environment from a social sciences perspective. ","This class examines the uses and makings of nature in accounts of the human and post-human. It introduces students to nature as an object of study, as an analytic and as a heuristic. Some of the topics the course explores include the nature-culture dyad, nature as resource, science and technology and the remaking of nature, economies of nature, materiality, nature and kinship, and natural ontologies.",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=351&p_subj=ANTH,351,,Cultures Of Nationalism,3,Y - included,Both,"Imperialism, global development and inequality - also, there must be some importance to the fact hat it deals with declarations from the UN, who produced so many guiding documents on sustainability ","This course will examine the cultural dimensions of nationalism, particularly around the creation of forms of ""peoplehood"" that seem to be presupposed by almost all nation-building projects. Texts to be analyzed will include the Declaration of Independence, the United States Constitution, and the Declaration of the Rights of Man.",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=354&p_subj=ANTH,354/554,Fall 2020,Disability And Gendered Bodies,3,Y - included,Both,"Gender inequality and ableism in society, in health care, in media. ALso through the lens of gender/sexuality. ","This course draws on critical disability studies and medical anthropology to explore how gender and sexuality matter in contexts of illness and disability across a range of institutional, social, and national contexts. We pay particular attention to the ways illness and disability expose, disturb, or retrench normative arrangements of gender.",Anthropology,2020-21,,,,,,
SWGS,,,,,,Y - included,Both,"Gender inequality and ableism in society, in health care, in media. ALso through the lens of gender/sexuality. ","This course draws on critical disability studies and medical anthropology to explore how gender and sexuality matter in contexts of illness and disability across a range of institutional, social, and national contexts. We pay particular attention to the ways illness and disability expose, disturb, or retrench normative arrangements of gender.","Study Of Women, Gender, And Sexuality",2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=355&p_subj=ANTH,355/555,Spring 2019,"Space, Place, Landscape",3,Y - included,Both,"Ecological frameworks of space, place, and landscape - ""this course provides an overview of the way archaeologists study landscapes including studies that emphasize their ecological, symbolic, political economic and religious aspects""; urban landscapes, global change","This course provides an overview of the way archaeologists study space, place and landscape, including studies that emphasize ecological, symbolic, political economic and religious aspects. Recent theoretical work on space, place and landscape will be emphasized, as well as archaeological methods of investigation and interpretation, including remote sensing, surveying, and GIS.",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=358&p_subj=ANTH,358/558,,Fourth World: Indigenous People,3,Y - focus,Both,"Indigeneity, indigenous practices and rights","In contrast with people self-identified within political structures of the First, Second and Third Worlds, Fourth World peoples are, generally speaking, ""stateless peoples."" In this course we will examine both how this ""unofficial"" status affects their struggle for self-determination and how native peoples engage traditional beliefs and practices for self-empowerment. Through readings, films and speakers we will examine current conflicts facing indigenous people in North and South America, the Soviet Union, Europe, Asia, and Australia.",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=361&p_subj=ANTH,361/561,,Latin American Topics,3,Y - included,Both,"Globalization, race/ethincity/indigeneity, sexuality, gender, calss, technology, medicine and health","This course examines contemporary cultural and political dynamics in Latin America. Topics include: race, ethnicity and indigenousness; borders, migrations and diaspora; genocide and state violence; neo-colonialisms and neo-liberalisms; sexuality, gender and class dynamics; social movements and activism; the politics and practices of medicine and religion; popular culture, media and technology. ",Anthropology,2020-21,,,,,,
ANTH,https://courses.rice.edu/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=365&p_subj=ANTH,365,,Politics Of Representation,3,Y - included,UG,Global violence and conflict but through a somewhat secondhand focus - primary purpose of the class is media/representation,"Does media show how things really are? This class explores the politics of representation, particularly in times of social mayhem, revolution, and war. Although we will focus primarily on cultural and political representations of the Israeli-Palestinian conflict, this class will also put this dispute in comparison with other global events. ",Anthropology,2020-21,,,,,,
